Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz,8,1407,16,63rd,5.3
AMD EPYC 7232P 8-Core Processor,8,1495,16,61st,5.4
Intel(R) Xeon(R) CPU E3-1235L v5 @ 2.00GHz,4,2204,4,60th,5.4
Intel(R) Xeon(R) CPU E5-1680 v3 @ 3.20GHz,8,3200,16,59th,5.4
Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,2,3058,4,57th,5.6
Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz,2,3100,4,57th,5.6
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,4,3400,8,54th,5.7
Intel(R) Xeon(R) Silver 4108 CPU @ 1.80GHz,8,1800,16,54th,5.7
Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz,10,3100,20,54th,5.7
Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,16,1900,32,46th,6.1
Intel(R) Xeon(R) CPU E5-2697 v3 @ 2.60GHz,14,1200,28,45th,6.2
Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz,2,2700,4,45th,6.2
Intel(R) Xeon(R) CPU E5-4650 0 @ 2.70GHz,8,2893,16,44th,6.3
Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,2,3400,4,44th,6.3
AMD FX-8370E Eight-Core Processor,4,1400,8,43rd,6.3
Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,12,2500,24,40th,6.6
Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,8,1200,16,39th,6.7
AMD FX(tm)-8350 Eight-Core Processor,4,1400,8,38th,6.7
Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,4,3217,4,34th,7.0
Intel(R) Xeon(R) CPU E5-2630 0 @ 2.30GHz,6,1200,12,33rd,7.1
AMD A10-6700 APU with Radeon(tm) HD Graphics,2,1800,4,21st,9.0
Intel(R) Xeon(R) CPU E5-2609 v4 @ 1.70GHz,8,1699,8,20th,9.3
Intel(R) Xeon(R) CPU           X7460  @ 2.66GHz,6,2666,6,15th,10.6
AMD A4-6300 APU with Radeon(tm) HD Graphics,1,3854,2,12th,11.8
Intel(R) Celeron(R) CPU 1007U @ 1.50GHz,2,1496,2,10th,15.0
Intel(R) Atom(TM) CPU  C2750  @ 2.40GHz,8,1200,8,6th,22.0
