Cpu name,Percentile,Average,St D
2 x Intel Xeon E5-2403 v2,41st,15331,172
Intel Core i5-6500,40th,15205,860
Intel Core i5-8250U,40th,15086,1917
Intel Core i5-7500,40th,15042,1121
AMD Ryzen 3 2200G with Radeon Vega,40th,15033,861
AMD Ryzen 5 3500U,40th,14985,885
Intel Core i5-3470,40th,14892,1417
Intel Core i5-3570,39th,14507,1089
AMD Ryzen 5 2500U,39th,14356,1690
Intel Core i5-4460,39th,14302,859
AMD Phenom II X6 1055T,38th,14075,171
Intel Pentium Gold G6400,38th,13966,531
Intel Core i5-4440,38th,13857,293
Intel Core i5-6400,37th,13088,360
Intel Xeon E3-1235L v5,37th,13044,202
Intel Core i3-7100,37th,13020,848
Intel Core i5-7300HQ,36th,12982,560
AMD FX-6100 Six-Core,36th,12852,274
Intel Core i7-7600U,35th,12367,774
AMD Ryzen 7 2700U,35th,12124,1670
Intel Core i5-2400,35th,11991,450
ARMv8 rev 0 6-Core,34th,11405,1310
Intel Core i5-2320,34th,11074,1223
Intel Core i5-2500,34th,11006,758
Intel Core i7-7500U,34th,10842,1203
AMD A8-3870 APU,33rd,10390,1195
Intel Core i5 760,32nd,9999,1021
Intel Core i7-5600U,32nd,9719,425
AMD Phenom II X4 955,31st,9553,862
Intel Core i5-7200U,30th,9218,1145
Intel Core i7 720Q,30th,9084,947
Intel Core i3-4130,30th,8955,771
Intel Core i5-3210M,29th,8866,341
Intel Core i5-3320M,29th,8816,733
Intel Core i7-3517U,29th,8741,901
Intel Core i3-2120,29th,8649,908
Intel Core i5-6200U,29th,8604,623
ARMv8 Cortex-A57 6-Core,28th,8381,99
Intel Core i5-5300U,28th,8343,1206
Intel Pentium G4400,28th,8317,52
Intel Pentium G3258,28th,8296,1097
Intel Core i3-7100U,27th,7951,849
Intel Core i5-2520M,27th,7904,578
Intel Core i5 650,26th,7730,1058
Intel Core i5-7Y54,26th,7662,163
Intel Core i5-5200U,26th,7616,909
Intel Core i5-4210U,26th,7516,684
Intel Pentium 4415U,26th,7484,23
Intel Celeron G5900,26th,7447,211
Intel Core i5-2430M,26th,7376,372
Intel Celeron J4105,25th,7082,887
Intel Core i5-4200U,25th,6815,682
Intel Core i7-7Y75,24th,6671,308
ARMv8 Cortex-A73 6-Core,22nd,6053,260
Intel Celeron J3455,21st,5818,285
Intel Core 2 Duo E8400,21st,5736,512
Intel Core i5 540M,19th,5289,558
AMD Athlon 5350 APU,18th,4805,395
AMD Athlon 64 X2 6000,18th,4689,108
Intel Celeron J1900,17th,4440,521
ARMv8 Cortex-A72 6-Core,17th,4334,470
ARMv8 rev 1 4-Core,16th,4129,230
Intel Celeron N4000,16th,4006,209
Intel Celeron N3160,15th,3904,280
Intel Core 2 Duo P8600,15th,3871,418
C-QuadCore C4610,15th,3810,192
ARMv8 Cortex-A72 4-Core,15th,3800,357
Rockchip ARMv8 Cortex-A72 6-Core,15th,3800,375
Intel Pentium E5300,14th,3703,268
ARMv7 Cortex-A72 4-Core,14th,3672,299
Intel Atom x5-Z8350,13th,3534,54
ARMv7 rev 3 4-Core,13th,3518,334
ARMv7 4-Core,11th,3324,193
AMD A6-4400M APU,11th,3291,13
Intel Core 2 Duo T7100,9th,3026,11
Intel Xeon E3-12xx v2,8th,2879,124
Intel Celeron N3050,6th,2330,287
Intel Pentium Dual T2310,6th,2213,57
ARMv7 rev 4 4-Core,5th,1888,156
ARMv7 rev 10 4-Core,4th,1768,8
Mobile AMD Sempron 3500,3rd,1452,69
