Cpu name,Cores,Average
Intel(R) Core(TM) i7-2700K CPU @ 3.50GHz,4,18003
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,17736
Intel(R) Core(TM) i7-4810MQ CPU @ 2.80GHz,4,17686
No-Info,-1,17632
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,4,17498
Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz,4,17491
Intel(R) Xeon(R) CPU E5-2609 v4 @ 1.70GHz,8,17488
Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,4,17470
No-Info,-1,16763
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,4,16676
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,4,16566
No-Info,-1,16440
AMD Ryzen 3 1300X Quad-Core Processor,4,16422
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,4,16299
No-Info,-1,16036
Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,4,15926
No-Info,-1,15857
No-Info,-1,15759
No-Info,-1,15511
No-Info,4,15391
AMD Ryzen 3 2200G with Radeon Vega Graphics,4,15372
Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz,4,15363
Intel(R) Xeon(R) CPU E5-2403 v2 @ 1.80GHz,4,15331
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,4,15205
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,4,15086
Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,4,15042
No-Info,4,15033
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,4,14985
No-Info,4,14892
No-Info,-1,14507
No-Info,-1,14302
No-Info,6,14075
No-Info,-1,13966
No-Info,-1,13088
Intel(R) Xeon(R) CPU E3-1235L v5 @ 2.00GHz,4,13044
Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,2,13020
Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,4,12982
Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,2,12367
No-Info,-1,12124
No-Info,-1,11991
Loongson-3A5000,4,11574
"AMD A10-7870K Radeon R7, 12 Compute Cores 4C+8G",2,11452
No-Info,-1,11405
No-Info,-1,11006
Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,2,10842
Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,8,10687
No-Info,4,10390
No-Info,-1,9999
Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,2,9719
No-Info,4,9553
Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,2,9218
No-Info,4,9084
Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,2,8955
No-Info,2,8866
No-Info,-1,8816
No-Info,2,8741
No-Info,2,8649
No-Info,-1,8604
No-Info,-1,8381
No-Info,1,8343
Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,-1,8317
Intel(R) Pentium(R) CPU G3258 @ 3.20GHz,2,8296
Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,2,7951
No-Info,2,7904
No-Info,4,7777
No-Info,2,7730
No-Info,-1,7662
Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2,7616
Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,-1,7516
Intel(R) Celeron(R) G5900 CPU @ 3.40GHz,2,7447
No-Info,2,7376
Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,4,7082
No-Info,-1,6671
No-Info,-1,6053
Intel(R) Celeron(R) CPU J3455 @ 1.50GHz,4,5818
No-Info,2,5736
No-Info,2,5289
Intel(R) Pentium(R) CPU  N3540  @ 2.16GHz,4,5104
AMD Athlon(tm) 5350 APU with Radeon(tm) R3,4,4805
No-Info,-1,4689
No-Info,-1,4440
No-Info,-1,4334
No-Info,-1,4129
No-Info,4,3904
No-Info,2,3871
C-QuadCore C4610@2.0GHz,1,3810
